eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
930.26,4446.12889086,3708,0.0035831021819995286,0.038634872436523436,-0.7028007946908474,-0.0019932413000788075,0.02696822995203547,0.7263095246162266,172,352256,2895.4595083,11272192
955.53,4664.52813169,3852,0.0035039875152002805,0.036865234375,-0.7075700098648667,-0.0018563109970273217,0.025399358384311198,0.7093211133033037,173,354304,2912.470155,11337728
965.16,4729.94695263,3876,0.003504876292245108,0.037199211120605466,-0.7125782363116742,-0.0018734305958787445,0.026021364104235545,0.6385217334609479,174,356352,2929.3777752,11403264
936.14,4627.94084695,3861,0.0036225807485075236,0.039277076721191406,-0.7170029230415821,-0.001754214683751343,0.026900816085981206,0.4532676741480827,175,358400,2946.3502712,11468800
958.63,4712.9639735499995,3787,0.0036397650487281622,0.03896465301513672,-0.7199087778106332,-0.0018820889134076424,0.02632363328593783,0.7440965818706899,176,360448,2963.6528013,11534336
959.34,4696.19305142,3720,0.003565702527138473,0.03778209686279297,-0.7224185820668936,-0.0018544747803389328,0.02780553405173123,0.7263815697282553,177,362496,2981.2710167,11599872
933.65,4600.52355412,3783,0.0035617307215894756,0.037688255310058594,-0.725050650537014,-0.0019256598570791539,0.025846160209039227,0.7374007755890488,178,364544,2998.5945412,11665408
964.24,4735.11888189,3706,0.0034289756030156313,0.03652057647705078,-0.7280710704624653,-0.0019955288869823564,0.02659352637710981,0.7198582800570875,179,366592,3016.2768287000004,11730944
945.52,4645.9899397300005,3843,0.0034873804148049885,0.036543655395507815,-0.7321257352828979,-0.002025010995566845,0.026462476869346573,0.7364023927133531,180,368640,3033.3281235,11796480
962.54,4727.626487470001,3817,0.003486954601782407,0.03731403350830078,-0.7344210153445602,-0.0019098633612884442,0.026814074162393807,0.643407830176875,181,370688,3050.4964862,11862016
968.14,4772.109763449999,3851,0.00342906067260896,0.03576793670654297,-0.7369240259751677,-0.0018955799270770513,0.025209885754156856,0.798462247545831,182,372736,3067.5126752,11927552
967.0,4739.50265757,3833,0.0032253757382898008,0.033701324462890626,-0.7400636892765761,-0.0018698358238907532,0.025629788119113074,0.7603800550568849,183,374784,3084.6100500000002,11993088
945.99,4557.498456159999,3845,0.003905892042670582,0.042616081237792966,-0.7434802457690239,-0.00216909922164632,0.025057340718922204,0.8413420001743361,184,376832,3101.6556705000003,12058624
955.54,4746.301432820001,3863,0.0036489861900386505,0.03921985626220703,-0.7488949777558446,-0.0019398509084567195,0.025991026702104136,0.5799370377324522,185,378880,3118.6177024000003,12124160
968.29,4797.629409329999,3854,0.003466112978430626,0.03641071319580078,-0.7530733341351151,-0.0019272138495580293,0.025715596287045627,0.7858234820887446,186,380928,3135.6221811,12189696
980.8,4887.733221630001,3807,0.003451226331740427,0.036939811706542966,-0.7558394890278578,-0.0018929037996713305,0.025753760134102778,0.5138945668004453,187,382976,3152.8345402,12255232
974.69,4917.67724298,3718,0.0036596348279383253,0.03927936553955078,-0.7586244147270917,-0.0017241531306353864,0.02695937840035185,0.5649081339128316,188,385024,3170.4619735,12320768
980.91,4986.92233182,3771,0.0037791982716593175,0.040710830688476564,-0.7605181552469731,-0.002106119774543913,0.026462383969919755,0.43135452158749105,189,387072,3187.8399571,12386304
936.21,4735.74380019,3818,0.0034148003470116503,0.03567848205566406,-0.763505726866424,-0.00208089600855601,0.027465669478988274,0.6915120316669345,190,389120,3205.0046471,12451840
953.87,4709.77697835,3801,0.0036187610316298856,0.03846054077148438,-0.7691244723275303,-0.001965127526273136,0.024036266485927625,0.8276426159311085,191,391168,3222.2437235,12517376
930.31,4612.042208310001,3715,0.0036112445146367148,0.038919258117675784,-0.7717293165624142,-0.0018646722281118854,0.02804718677653,0.6965538984164595,192,393216,3239.8826572000003,12582912
928.75,4711.967929980001,3654,0.003331117238661284,0.035116386413574216,-0.7745525484904647,-0.0017947072810784448,0.027135750744491816,0.16747256852686404,193,395264,3257.8149253,12648448
947.78,4819.92972294,3839,0.003317046171033633,0.03539066314697266,-0.7787959113717079,-0.0018857872189983027,0.026470054441597314,0.6257506340742112,194,397312,3274.8847937,12713984
971.77,4893.735076840001,3857,0.0034702684132506753,0.03632373809814453,-0.7812881264835596,-0.0018582591408630833,0.02568048224784434,0.7153099106624723,195,399360,3291.875791,12779520
925.64,4681.31491601,3831,0.003714455094795892,0.039859962463378903,-0.7847017750144005,-0.0021214263386355016,0.02729946269537322,0.6460789877455682,196,401408,3308.9832365,12845056
915.64,4702.02929571,3684,0.003274000227431108,0.03427066802978516,-0.7872496917843819,-0.0018722922955930698,0.027002325595822184,0.19731329027563332,197,403456,3326.7705198000003,12910592
943.41,4872.90007622,3811,0.003517743538722795,0.037703514099121094,-0.7903465455397963,-0.0019059944137552521,0.02732234599534422,0.5065977989695967,198,405504,3343.9668413,12976128
975.24,4889.58646095,3844,0.0035102155907319786,0.037392044067382814,-0.7932062456384301,-0.0019976238636445487,0.025294334304635412,0.7635471129789948,199,407552,3361.0134776,13041664
957.91,4876.09257389,3860,0.0032985202003206386,0.03485374450683594,-0.7942002227529883,-0.0017808427412091988,0.027560363948578016,0.4153562975116074,200,409600,3377.9921908,13107200
945.34,4836.552489199999,3855,0.003648569640621218,0.039830780029296874,-0.7945026580244303,-0.001779297627217602,0.026425147865666077,0.7167007047683001,201,411648,3394.9933388,13172736
964.32,4915.4595369,3849,0.0034861606167135933,0.03701915740966797,-0.796160876005888,-0.0019748773833271117,0.025451013626297935,0.7211729386821389,202,413696,3412.0178196,13238272
935.26,4794.393809939999,3867,0.0033132108570053673,0.034666252136230466,-0.8003994246944786,-0.0018464668362867087,0.02734110617893748,0.5606761124916375,203,415744,3428.9663749,13303808
974.59,5043.367280959999,3815,0.0035657601362212763,0.03822650909423828,-0.8043928798288107,-0.001782897301745834,0.025441833812510594,0.5827753003686666,204,417792,3446.1457387,13369344
952.61,4925.087686299999,3821,0.003425008281146355,0.035814094543457034,-0.8088602753356099,-0.0018502371945942286,0.02707907278672792,0.7015077820513398,205,419840,3463.2979,13434880
946.7,4792.911717069999,3716,0.003816891962010127,0.04136981964111328,-0.8135033050552011,-0.0020480349732679313,0.02626496059820056,0.7683466778602451,206,421888,3480.933765,13500416
926.5,4661.2321058200005,3652,0.003566211681207228,0.038202095031738284,-0.816226183436811,-0.0019096773750788998,0.026162111858138815,0.7655342095997184,207,423936,3498.8801676000003,13565952
933.15,4734.37751655,3712,0.003575328518824547,0.03868923187255859,-0.8195895567536354,-0.0018850651878892677,0.026274161727633326,0.6669965979643167,208,425984,3516.5362084000003,13631488
921.24,4764.94169679,3700,0.0033333933376606547,0.035735130310058594,-0.8207439856603742,-0.001846199223655276,0.026832648809067904,0.43870186395943167,209,428032,3534.2451399,13697024
905.33,4696.9264755799995,3713,0.003381895970172224,0.0355377197265625,-0.8226289950311184,-0.0019355688335053855,0.028577396587934345,0.6557029542513192,210,430080,3551.8945264000004,13762560
945.64,4850.31922783,3739,0.0034008570711886663,0.035665702819824216,-0.8263393934816122,-0.0017835677375842352,0.02601401675492525,0.7163183005992323,211,432128,3569.419569,13828096
963.15,5012.39899846,3778,0.0035216451762369026,0.03763713836669922,-0.8301437757909298,-0.0018584457004180877,0.02712783478782512,0.5085181284695863,212,434176,3586.7632518,13893632
944.77,4889.70896308,3810,0.003600933011615436,0.03832931518554687,-0.8349463820457459,-0.0019685675881191854,0.0265233674144838,0.763458802504465,213,436224,3603.9614302,13959168
954.01,4894.233762909999,3783,0.0035697840282292127,0.038970947265625,-0.8382933186367154,-0.0018705506619880908,0.027366570383310317,0.19239716734737158,214,438272,3621.2862050000003,14024704
958.25,4966.223276029999,3705,0.003394463248146085,0.035881996154785156,-0.8407685281708837,-0.0018735179510258604,0.026931182359112425,0.6657097131479531,215,440320,3638.9715537,14090240
964.98,5037.39477393,3810,0.0035711300259418342,0.038605117797851564,-0.842892911285162,-0.0020470334220590303,0.02540977913304232,0.6634648383129388,216,442368,3656.171308,14155776
983.9,5053.36372579,3912,0.003590417163470162,0.03846549987792969,-0.84544922336936,-0.0020920749277138382,0.02551468674791977,0.7187349016778171,217,444416,3672.9245665000003,14221312
966.67,5066.555721729999,3912,0.003441718829172348,0.036688041687011716,-0.8489894969388843,-0.0019047395464440342,0.028007409570273013,0.4411287892609835,218,446464,3689.6756872,14286848
952.62,4977.31323087,3920,0.0038311336171855297,0.041561317443847653,-0.8532854394987226,-0.0020663362643972504,0.02682717386633158,0.518059855978936,219,448512,3706.3935252,14352384
936.22,4937.934419519999,3889,0.0034993249439549054,0.03749294281005859,-0.8543956037610769,-0.0016747724748711335,0.026840190455550327,0.7403984022792429,220,450560,3723.2445062,14417920
941.4,4871.52919911,3883,0.0035059771905690206,0.03724479675292969,-0.8561585888266563,-0.0019117740710498765,0.025359673821367324,0.7028650766704232,221,452608,3740.1227683,14483456
954.2,5003.622299000001,3822,0.0033248387220919462,0.03478984832763672,-0.8591199513524771,-0.0018921438253528323,0.02677726068068296,0.2992199406027794,222,454656,3757.270163,14548992
962.14,5025.78865921,3835,0.0036623861987121324,0.03991489410400391,-0.8627092039212585,-0.0018968343938468024,0.02689192061079666,0.6023553432896733,223,456704,3774.3569406,14614528
976.95,5020.523197709999,3917,0.003549211696800547,0.03819332122802734,-0.8626880651339889,-0.0020833836062593035,0.026352582493564113,0.7251934004947543,224,458752,3791.0889585,14680064
969.52,4985.082465980001,3904,0.003639553133568292,0.03920402526855469,-0.8636579927057028,-0.0020387272901643883,0.02561065466143191,0.6686430316418409,225,460800,3807.8768872,14745600
974.63,5088.06950751,3892,0.0034764366152853763,0.037334251403808597,-0.8650265350937844,-0.001958250531606609,0.02632214516052045,0.5366384490393102,226,462848,3824.7147984000003,14811136
989.33,5116.92753922,3784,0.0033821432981793144,0.035591506958007814,-0.8671742077916861,-0.0019239359411585611,0.025131004539434797,0.7447277412749826,227,464896,3842.0350281,14876672
977.05,4962.6259391,3796,0.003518399332022873,0.03693866729736328,-0.870193281956017,-0.00196732153344783,0.024647547790664248,0.7855922020273283,228,466944,3859.2962614000003,14942208
970.68,5009.88123486,3752,0.003676023655334602,0.03968963623046875,-0.8739802950993181,-0.001990019936056342,0.02602480453788303,0.7180474962107837,229,468992,3876.7641278,15007744
977.01,5006.537632809999,3917,0.0034862586075985343,0.03724193572998047,-0.8778208818286657,-0.0019083905608567875,0.026790105848340316,0.776420684857294,230,471040,3893.4951601000002,15073280
965.5,5059.45598763,3905,0.0035485961463178574,0.038219261169433597,-0.8794733103364706,-0.001827317055722233,0.025591659045312555,0.38945973161607983,231,473088,3910.2777031,15138816
983.16,5214.06661421,3927,0.0034739690234656525,0.03754367828369141,-0.880254690349102,-0.0017901061502925586,0.026671951881144195,0.2371966365724802,232,475136,3926.9643686,15204352
952.6,5047.05442518,3880,0.0034474894948130913,0.036861610412597653,-0.8825680799782276,-0.0019104625873296755,0.02678955947048962,0.18169761262834072,233,477184,3943.8520628,15269888
978.75,5071.678251689999,3820,0.0036160055028045964,0.03896198272705078,-0.8856010682880878,-0.001836982463282766,0.02512576172593981,0.7840041708666832,234,479232,3961.0074677000002,15335424
963.7,5025.12934096,3904,0.0035507221431641603,0.03793201446533203,-0.8882609514519573,-0.0018449450544721913,0.025829560766578653,0.5447735081426799,235,481280,3977.7952245,15400960
967.54,5140.863509530001,3849,0.0034036786125239576,0.03619594573974609,-0.8908026739954948,-0.0018886015262978618,0.02579352364409715,0.1281415607780218,236,483328,3994.8211972000004,15466496
970.68,5136.5597472300005,3909,0.0032426245403397906,0.03418254852294922,-0.8923829102888703,-0.0017816434999986086,0.02595171518623829,0.5612558718770743,237,485376,4011.5836178,15532032
944.58,4933.6223813,3933,0.0032129484859472453,0.03390178680419922,-0.8934813493862748,-0.0017438629627577029,0.026718090462964028,0.5880097363144159,238,487424,4028.2461286000002,15597568
